Index,Area,Item,Year,pesticides_tonnes,average_rain_fall_mm_per_year,avg_temp,MEASURE,INDICATOR,hg/ha_yield
0,Ghana,Maize,1990,65.8,1187,26.73,THND_HA,CROPYIELD,11889
1,Ghana,Maize,1991,65.8,1187,26.6,THND_HA,CROPYIELD,15260
2,Ghana,Maize,1992,65.8,1187,26.47,THND_HA,CROPYIELD,12040
3,Ghana,Maize,1993,65.8,1187,26.67,THND_HA,CROPYIELD,15092
4,Ghana,Maize,1994,65.8,1187,26.62,THND_HA,CROPYIELD,14933
5,Ghana,Maize,1995,65.8,1187,26.87,THND_HA,CROPYIELD,15020
6,Ghana,Maize,1996,1575.5,1187,26.61,THND_HA,CROPYIELD,15153
7,Ghana,Maize,1997,502,1187,26.58,THND_HA,CROPYIELD,15285
8,Ghana,Maize,1998,297.78,1187,27.28,THND_HA,CROPYIELD,14850
9,Ghana,Maize,1999,114.13,1187,26.74,THND_HA,CROPYIELD,14557
10,Ghana,Maize,2000,81.63,1187,26.83,THND_HA,CROPYIELD,14578
11,Ghana,Maize,2001,82,1187,26.76,THND_HA,CROPYIELD,13150
12,Ghana,Maize,2002,89.88,1187,26.92,THND_HA,CROPYIELD,14900
13,Ghana,Maize,2004,134.25,1187,27.02,THND_HA,CROPYIELD,15794
14,Ghana,Maize,2005,166.16,1187,27.06,THND_HA,CROPYIELD,15613
15,Ghana,Maize,2006,771.58,1187,27.1,THND_HA,CROPYIELD,14994
16,Ghana,Maize,2007,119.86,1187,27.16,THND_HA,CROPYIELD,15437
17,Ghana,Maize,2008,350.83,1187,26.98,THND_HA,CROPYIELD,17371
18,Ghana,Maize,2009,378.97,1187,27.14,THND_HA,CROPYIELD,16969
19,Ghana,Maize,2010,378.97,1187,27.57,THND_HA,CROPYIELD,18874
20,Ghana,Maize,2011,378.97,1187,27.11,THND_HA,CROPYIELD,16458
21,Ghana,Maize,2012,378.97,1187,26.86,THND_HA,CROPYIELD,18712
22,Ghana,Maize,2013,378.97,1187,27.24,THND_HA,CROPYIELD,17240
23,Malaysia,Maize,1990,39406.48,2875,27.21,THND_HA,CROPYIELD,17500
24,Malaysia,Maize,1991,39406.48,2875,27.04,THND_HA,CROPYIELD,17500
25,Malaysia,Maize,1992,39406.48,2875,27.05,THND_HA,CROPYIELD,17143
26,Malaysia,Maize,1993,39406.48,2875,26.99,THND_HA,CROPYIELD,19000
27,Malaysia,Maize,1994,39406.48,2875,27,THND_HA,CROPYIELD,20000
28,Malaysia,Maize,1995,39406.48,2875,27.05,THND_HA,CROPYIELD,18696
29,Malaysia,Maize,1996,39406.48,2875,27.04,THND_HA,CROPYIELD,18000
30,Malaysia,Maize,1997,39406.48,2875,27.29,THND_HA,CROPYIELD,18462
31,Malaysia,Maize,1998,39406.48,2875,27.89,THND_HA,CROPYIELD,18519
32,Malaysia,Maize,1999,39406.48,2875,26.95,THND_HA,CROPYIELD,21111
33,Malaysia,Maize,2000,39406.48,2875,27.14,THND_HA,CROPYIELD,24074
34,Malaysia,Maize,2001,39406.48,2875,27.24,THND_HA,CROPYIELD,30455
35,Malaysia,Maize,2002,39406.48,2875,27.57,THND_HA,CROPYIELD,30435
36,Malaysia,Maize,2004,39406.48,2875,27.35,THND_HA,CROPYIELD,30000
37,Malaysia,Maize,2005,39406.48,2875,27.59,THND_HA,CROPYIELD,30000
38,Malaysia,Maize,2006,39406.48,2875,27.29,THND_HA,CROPYIELD,32000
39,Malaysia,Maize,2007,46868.35,2875,27.23,THND_HA,CROPYIELD,48554
40,Malaysia,Maize,2008,54821.91,2875,27.12,THND_HA,CROPYIELD,52192
41,Malaysia,Maize,2009,52464.19,2875,27.47,THND_HA,CROPYIELD,50719
42,Malaysia,Maize,2010,60194.83,2875,27.69,THND_HA,CROPYIELD,55351
43,Malaysia,Maize,2011,41562.16,2875,27.27,THND_HA,CROPYIELD,61320
44,Malaysia,Maize,2012,49810.48,2875,27.36,THND_HA,CROPYIELD,89681
45,Malaysia,Maize,2013,61445.6,2875,27.8,THND_HA,CROPYIELD,88991
46,Mozambique,Maize,1990,102.26,1032,21.51,THND_HA,CROPYIELD,4480
47,Mozambique,Maize,1991,102.26,1032,21.77,THND_HA,CROPYIELD,3241
48,Mozambique,Maize,1992,102.26,1032,22.6,THND_HA,CROPYIELD,1587
49,Mozambique,Maize,1993,102.26,1032,22.04,THND_HA,CROPYIELD,6332
50,Mozambique,Maize,1994,102.26,1032,21.35,THND_HA,CROPYIELD,5207
51,Mozambique,Maize,1995,72.19,1032,21.89,THND_HA,CROPYIELD,6794
52,Mozambique,Maize,1996,65.85,1032,21.53,THND_HA,CROPYIELD,9395
53,Mozambique,Maize,1997,60.63,1032,21.54,THND_HA,CROPYIELD,9033
54,Mozambique,Maize,1998,51.98,1032,22.22,THND_HA,CROPYIELD,9006
55,Mozambique,Maize,1999,43.34,1032,22.19,THND_HA,CROPYIELD,11596
56,Mozambique,Maize,2000,34.69,1032,21.51,THND_HA,CROPYIELD,9399
57,Mozambique,Maize,2001,26.05,1032,21.94,THND_HA,CROPYIELD,9580
58,Mozambique,Maize,2002,17.4,1032,21.96,THND_HA,CROPYIELD,7065
59,Mozambique,Maize,2004,572.99,1032,21.89,THND_HA,CROPYIELD,8085
60,Mozambique,Maize,2005,770.88,1032,22.27,THND_HA,CROPYIELD,4950
61,Mozambique,Maize,2006,891.54,1032,21.68,THND_HA,CROPYIELD,8387
62,Mozambique,Maize,2007,547.31,1032,21.91,THND_HA,CROPYIELD,6813
63,Mozambique,Maize,2008,890.47,1032,21.76,THND_HA,CROPYIELD,6177
64,Mozambique,Maize,2009,914.92,1032,21.7,THND_HA,CROPYIELD,10000
65,Mozambique,Maize,2010,1187.1,1032,22.1,THND_HA,CROPYIELD,12024
66,Mozambique,Maize,2011,766.93,1032,21.69,THND_HA,CROPYIELD,12020
67,Mozambique,Maize,2012,766.93,1032,21.92,THND_HA,CROPYIELD,14980
68,Mozambique,Maize,2013,766.93,1032,21.37,THND_HA,CROPYIELD,6814
69,South Africa,Maize,1990,16582,495,20.56,THND_HA,CROPYIELD,22051
70,South Africa,Maize,1990,16582,495,15.56,THND_HA,CROPYIELD,22051
71,South Africa,Maize,1990,16582,495,18.91,THND_HA,CROPYIELD,22051
72,South Africa,Maize,1990,16582,495,15.56,THND_TONNE,CROPYIELD,22051
73,South Africa,Maize,1991,16582,495,21.06,THND_TONNE,CROPYIELD,22573
74,South Africa,Maize,1991,16582,495,15.56,THND_TONNE,CROPYIELD,22573
75,South Africa,Maize,1991,16582,495,18.86,THND_TONNE,CROPYIELD,22573
76,South Africa,Maize,1991,16582,495,15.56,THND_TONNE,CROPYIELD,22573
77,South Africa,Maize,1992,16582,495,21.53,THND_TONNE,CROPYIELD,7853
78,South Africa,Maize,1992,16582,495,16.48,THND_TONNE,CROPYIELD,7853
79,South Africa,Maize,1992,16582,495,19.95,THND_TONNE,CROPYIELD,7853
80,South Africa,Maize,1992,16582,495,16.48,THND_TONNE,CROPYIELD,7853
81,South Africa,Maize,1993,16582,495,21.32,THND_TONNE,CROPYIELD,22840
82,South Africa,Maize,1993,16582,495,16.01,THND_TONNE,CROPYIELD,22840
83,South Africa,Maize,1993,16582,495,19.32,THND_TONNE,CROPYIELD,22840
84,South Africa,Maize,1993,16582,495,16.01,THND_TONNE,CROPYIELD,22840
85,South Africa,Maize,1994,16582,495,20.65,THND_TONNE,CROPYIELD,28481
86,South Africa,Maize,1994,16582,495,15.1,THND_TONNE,CROPYIELD,28481
87,South Africa,Maize,1994,16582,495,18.48,THND_TONNE,CROPYIELD,28481
88,South Africa,Maize,1994,16582,495,15.1,THND_TONNE,CROPYIELD,28481
89,South Africa,Maize,1995,18025,495,20.73,THND_TONNE,CROPYIELD,13800
90,South Africa,Maize,1995,18025,495,15.77,THND_TONNE,CROPYIELD,13800
91,South Africa,Maize,1995,18025,495,19.23,THND_TONNE,CROPYIELD,13800
92,South Africa,Maize,1995,18025,495,15.77,THND_TONNE,CROPYIELD,13800
93,South Africa,Maize,1996,19508,495,20.49,THND_TONNE,CROPYIELD,27043
94,South Africa,Maize,1996,19508,495,15.23,THND_TONNE,CROPYIELD,27043
95,South Africa,Maize,1996,19508,495,18.49,THND_TONNE,CROPYIELD,27043
96,South Africa,Maize,1996,19508,495,15.23,THND_TONNE,CROPYIELD,27043
97,South Africa,Maize,1997,21596,495,20.57,THND_TONNE,CROPYIELD,25195
98,South Africa,Maize,1997,21596,495,15.38,THND_TONNE,CROPYIELD,25195
99,South Africa,Maize,1997,21596,495,18.64,THND_TONNE,CROPYIELD,25195
100,South Africa,Maize,1997,21596,495,15.38,THND_TONNE,CROPYIELD,25195
101,South Africa,Maize,1998,24304,495,21.22,THND_TONNE,CROPYIELD,21611
102,South Africa,Maize,1998,24304,495,16.11,THND_TONNE,CROPYIELD,21611
103,South Africa,Maize,1998,24304,495,19.42,THND_TONNE,CROPYIELD,21611
104,South Africa,Maize,1998,24304,495,16.11,THND_TONNE,CROPYIELD,21611
105,South Africa,Maize,1999,26098.8,495,21.64,THND_TONNE,CROPYIELD,22274
106,South Africa,Maize,1999,26098.8,495,16.09,THND_TONNE,CROPYIELD,22274
107,South Africa,Maize,1999,26098.8,495,19.27,THND_TONNE,CROPYIELD,22274
108,South Africa,Maize,1999,26098.8,495,16.09,TONNE_HA,CROPYIELD,22274
109,South Africa,Maize,2000,26857,495,20.74,TONNE_HA,CROPYIELD,28492
110,South Africa,Maize,2000,26857,495,15.13,TONNE_HA,CROPYIELD,28492
111,South Africa,Maize,2000,26857,495,18.26,TONNE_HA,CROPYIELD,28492
112,South Africa,Maize,2000,26857,495,15.13,TONNE_HA,CROPYIELD,28492
113,South Africa,Maize,2001,26857,495,21.25,TONNE_HA,CROPYIELD,24371
114,South Africa,Maize,2001,26857,495,15.68,TONNE_HA,CROPYIELD,24371
115,South Africa,Maize,2001,26857,495,18.92,TONNE_HA,CROPYIELD,24371
116,South Africa,Maize,2001,26857,495,15.68,TONNE_HA,CROPYIELD,24371
117,South Africa,Maize,2002,26857,495,21.07,TONNE_HA,CROPYIELD,28516
118,South Africa,Maize,2002,26857,495,15.88,TONNE_HA,CROPYIELD,28516
119,South Africa,Maize,2002,26857,495,19.28,TONNE_HA,CROPYIELD,28516
120,South Africa,Maize,2002,26857,495,15.88,TONNE_HA,CROPYIELD,28516
121,South Africa,Maize,2004,26857,495,21.11,TONNE_HA,CROPYIELD,30305
122,South Africa,Maize,2004,26857,495,15.49,TONNE_HA,CROPYIELD,30305
123,South Africa,Maize,2004,26857,495,18.75,TONNE_HA,CROPYIELD,30305
124,South Africa,Maize,2004,26857,495,15.49,TONNE_HA,CROPYIELD,30305
125,South Africa,Maize,2005,26857,495,21.14,TONNE_HA,CROPYIELD,36351
126,South Africa,Maize,2005,26857,495,16.29,TONNE_HA,CROPYIELD,36351
127,South Africa,Maize,2005,26857,495,19.74,TONNE_HA,CROPYIELD,36351
128,South Africa,Maize,2005,26857,495,16.29,TONNE_HA,CROPYIELD,36351
129,South Africa,Maize,2006,26857,495,20.86,TONNE_HA,CROPYIELD,34122
130,South Africa,Maize,2006,26857,495,15.26,TONNE_HA,CROPYIELD,34122
131,South Africa,Maize,2006,26857,495,18.42,TONNE_HA,CROPYIELD,34122
132,South Africa,Maize,2006,26857,495,15.26,TONNE_HA,CROPYIELD,34122
133,South Africa,Maize,2007,26857,495,21.07,TONNE_HA,CROPYIELD,27921
134,South Africa,Maize,2007,26857,495,15.9,TONNE_HA,CROPYIELD,27921
135,South Africa,Maize,2007,26857,495,18.98,TONNE_HA,CROPYIELD,27921
136,South Africa,Maize,2007,26857,495,15.9,TONNE_HA,CROPYIELD,27921
137,South Africa,Maize,2008,26857,495,20.89,TONNE_HA,CROPYIELD,45373
138,South Africa,Maize,2008,26857,495,15.75,TONNE_HA,CROPYIELD,45373
139,South Africa,Maize,2008,26857,495,18.91,TONNE_HA,CROPYIELD,45373
140,South Africa,Maize,2008,26857,495,15.75,TONNE_HA,CROPYIELD,45373
141,South Africa,Maize,2009,26857,495,20.71,TONNE_HA,CROPYIELD,49640
142,South Africa,Maize,2009,26857,495,15.44,TONNE_HA,CROPYIELD,49640
143,South Africa,Maize,2009,26857,495,18.67,TONNE_HA,CROPYIELD,49640
144,South Africa,Maize,2009,26857,495,15.44,TONNE_HA,CROPYIELD,49640
145,South Africa,Maize,2010,26857,495,21.54,TONNE_HA,CROPYIELD,46736
146,South Africa,Maize,2010,26857,495,16.11,TONNE_HA,CROPYIELD,46736
147,South Africa,Maize,2010,26857,495,19.31,TONNE_HA,CROPYIELD,46736
148,South Africa,Maize,2010,26857,495,16.11,TONNE_HA,CROPYIELD,46736
149,South Africa,Maize,2011,26857,495,20.72,TONNE_HA,CROPYIELD,43671
150,South Africa,Maize,2011,26857,495,15.49,TONNE_HA,CROPYIELD,43671
151,South Africa,Maize,2011,26857,495,18.75,TONNE_HA,CROPYIELD,43671
152,South Africa,Maize,2011,26857,495,15.49,TONNE_HA,CROPYIELD,43671
153,South Africa,Maize,2012,26857,495,21.24,TONNE_HA,CROPYIELD,44905
154,South Africa,Maize,2012,26857,495,15.89,TONNE_HA,CROPYIELD,44905
155,South Africa,Maize,2012,26857,495,19.14,TONNE_HA,CROPYIELD,44905
156,South Africa,Maize,2012,26857,495,15.89,TONNE_HA,CROPYIELD,44905
157,South Africa,Maize,2013,26857,495,21.31,TONNE_HA,CROPYIELD,42466
158,South Africa,Maize,2013,26857,495,14.98,TONNE_HA,CROPYIELD,42466
159,South Africa,Maize,2013,26857,495,18,TONNE_HA,CROPYIELD,42466
160,South Africa,Maize,2013,26857,495,14.98,TONNE_HA,CROPYIELD,42466
161,Sudan,Maize,2012,2469.47,1712,26.42,TONNE_HA,CROPYIELD,16634
162,Sudan,Maize,2012,2469.47,1712,29.96,TONNE_HA,CROPYIELD,16634
163,Sudan,Maize,2013,2469.47,1712,26.84,TONNE_HA,CROPYIELD,15997
164,Sudan,Maize,2013,2469.47,1712,30.65,TONNE_HA,CROPYIELD,15997
165,Zambia,Maize,1990,1080,1020,21.43,TONNE_HA,CROPYIELD,14316
166,Zambia,Maize,1991,1080,1020,20.84,TONNE_HA,CROPYIELD,17140
167,Zambia,Maize,1992,1080,1020,21.85,TONNE_HA,CROPYIELD,7311
168,Zambia,Maize,1993,1080,1020,21,TONNE_HA,CROPYIELD,25228
169,Zambia,Maize,1994,1080,1020,21.2,TONNE_HA,CROPYIELD,15025
170,Zambia,Maize,1995,716,1020,21.86,TONNE_HA,CROPYIELD,14185
171,Zambia,Maize,1996,1670,1020,21.19,TONNE_HA,CROPYIELD,20864
172,Zambia,Maize,1997,1670,1020,20.9,TONNE_HA,CROPYIELD,14794
173,Zambia,Maize,1998,1670,1020,21.32,TONNE_HA,CROPYIELD,12503
174,Zambia,Maize,1999,1670,1020,20.53,TONNE_HA,CROPYIELD,13759
175,Zambia,Maize,2000,1670,1020,20.66,TONNE_HA,CROPYIELD,17720
176,Zambia,Maize,2001,1670,1020,20.9,TONNE_HA,CROPYIELD,13780
177,Zambia,Maize,2002,1670,1020,21.55,TONNE_HA,CROPYIELD,14097
178,Zambia,Maize,2004,1670,1020,20.79,TONNE_HA,CROPYIELD,19239
179,Zambia,Maize,2005,1670,1020,21.97,TONNE_HA,CROPYIELD,18594
180,Zambia,Maize,2006,1670,1020,21.05,TONNE_HA,CROPYIELD,18992
181,Zambia,Maize,2007,1670,1020,20.87,TONNE_HA,CROPYIELD,23342
182,Zambia,Maize,2008,1670,1020,20.66,TONNE_HA,CROPYIELD,22442
183,Zambia,Maize,2009,1670,1020,20.76,TONNE_HA,CROPYIELD,20692
184,Zambia,Maize,2010,1670,1020,21.34,TONNE_HA,CROPYIELD,25871
185,Zambia,Maize,2011,1670,1020,20.88,TONNE_HA,CROPYIELD,27414
186,Zambia,Maize,2012,1670,1020,20.8,TONNE_HA,CROPYIELD,26545
187,Zambia,Maize,2013,1670,1020,20.14,TONNE_HA,CROPYIELD,25382
